,Title,Desc,Type,BodyPart,Equipment,Level
13,Seated bar twist,the seated bar twist is a core exercise meant to strengthen the obliques it is often performed for high reps with relatively light weight such as an empty barbell a lightweight fixed weight bar or even a pvc pipe it can be performed during a workout at the end of a workout or outside of the gym to build core strength and resiliency ,Strength,Abdominals,Barbell,Intermediate
14,Single-arm landmine pull and press,the single arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device it combines a pull off the floor with rotation and finishes with a press it is usually performed for low reps per set with an emphasis on speed and form not moving heavy weight ,Strength,Abdominals,Barbell,Intermediate
15,Barbell Ab Roll Out - Gethin Variation,the barbell roll out is an abdominal exercise that utilizes a barbell in the place of an ab roller it is best performed with a barbell that has rotating collars and is considered more difficult than other ab roller variations many lifters may not be able to perform a single rep at first but once they can perform these for reps they ll be rewarded with a seriously strong core ,Strength,Abdominals,Barbell,Intermediate
16,30 Barbell Floor Wiper,the barbell floor wiper is a core exercise in which the barbell is held in the locked out position of a floor press and the hips and legs are rotated side to side it targets the oblique muscles of the lateral abdomen but is also seriously challenging to the deep core and rectus abdominis or six pack muscles ,Strength,Abdominals,Barbell,Intermediate
17,30 Barbell Roll-Out,the barbell roll out is an abdominal exercise that utilizes a barbell in the place of an ab roller it is best performed with a barbell that has rotating collars and is considered more difficult than other ab roller variations many lifters may not be able to perform a single rep at first but once they can perform these for reps they ll be rewarded with a seriously strong core ,Strength,Abdominals,Barbell,Intermediate
18,Decline plate sit-up,the decline plate sit up is a weighted core exercise that works the rectus abdominis or six pack muscles as well as the deep core muscles weighted sit up variations are usually performed for moderate to high reps such as 8 12 reps per set or more as part of the core focused portion of a workout ,Strength,Abdominals,Barbell,Intermediate
21,Kettlebell Windmill,the single kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability it is often used as a functional warm up or for multi directional strength work it doesn t work as well in a metcon or conditioning setting and shouldn t be performed under intense fatigue ,Strength,Abdominals,Kettlebells,Intermediate
23,Kettlebell 3-point leg extension,the kettlebell 3 point leg extension is a dynamic core exercise performed around and over a kettlebell or other short stationary object it is similar in some ways to a v up or reverse crunch but targets both the obliques and the rectus abdominis or six pack muscles it can be performed for reps or for time usually in dedicated ab training or as part of a kettlebell and bodyweight circuit workout ,Strength,Abdominals,Kettlebells,Intermediate
25,Burpee over kettlebell,the burpee over kettlebell is a more advanced version of a popular conditioning exercise if you re performing a circuit that already has both burpees and kettlebell movements it s a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training ,Strength,Abdominals,Kettlebells,Intermediate
26,Kettlebell toe-touch,the kettlebell toe touch is a more difficult version of a highly popular abdominal movement usually done for high reps the simple addition of a weight makes the toe touch far more difficult providing a different stimulus to the core during training ,Strength,Abdominals,Kettlebells,Intermediate
27,Kettlebell swing,the kettlebell swing is a popular lower body exercise emphasizing the hamstrings glutes and back muscles it is often used to train explosive power for aerobic or cardiovascular conditioning in circuit training or as an accessory movement for the deadlift ,Strength,Abdominals,Kettlebells,Intermediate
28,Two-way swing,the two way kettlebell swing is an exercise that alternates a chest height kettlebell swing sometimes called a russian or hardstyle swing with an overhead kettlebell swing sometimes called an american swing both swing variations work many of the same muscles such as the hamstrings glutes and core but because the weight must travel farther in the overhead swing it s slightly more metabolically demanding and works the upper back and shoulders more this combo can be performed for time or reps and works especially well in circuit style or full body training if you can t perform the overhead swing without lower back or shoulder pain just perform the chest height swing ,Strength,Abdominals,Kettlebells,Intermediate
29,Kettlebell crab reach,the kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single arm bridge position the simple addition of a weight makes the reach far more difficult challenging the muscles of the back shoulders glutes and core ,Strength,Abdominals,Kettlebells,Intermediate
39,Dumbbell V-Sit Cross Jab,the dumbbell v sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously it can address multiple muscle groups in a time efficient muscle building or circuit style workout while also providing a cardiovascular challenge ,Strength,Abdominals,Dumbbell,Intermediate
40,Dumbbell spell caster,the dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques however it also works shoulders back hips and legs and demands all of those muscles work together in a coordinated motion it is usually performed with relatively light weights for moderate to high reps at least 8 12 reps per side make sure to only use a weight you can control ,Strength,Abdominals,Dumbbell,Beginner
41,Dumbbell side bend,the dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen it is usually performed for relatively high reps at least 8 12 reps per set or more it can be performed one side at a time or alternating sides ,Strength,Abdominals,Dumbbell,Intermediate
42,Dumbbell crunch,the dumbbell crunch is a more difficult version of a highly popular abdominal movement the simple addition of a weight makes the crunch far more difficult providing a different stimulus to the core during training ,Strength,Abdominals,Dumbbell,Intermediate
51,Dumbbell T-hold,the dumbbell t hold is a static exercise that primarily targets the obliques although it also works the shoulders and upper back it involves holding a dumbbell in the air while in a side plank position it is usually performed for timed holds although it can be performed dynamically for reps as a plank with dumbbell rotation ,Strength,Abdominals,Dumbbell,Intermediate
52,Dumbbell hollow-body floor press,the dumbbell hollow body floor press combines upper body strength and core work in one move ,Strength,Abdominals,Dumbbell,Intermediate
53,Dumbbell crusher,the dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl followed by a triceps press it targets the legs glutes biceps shoulders and triceps in a single sequence making it a great way to burn serious calories and hit a lot of muscles in a short period of time the upper body movements will determine the amount of weight you can effectively use ,Strength,Abdominals,Dumbbell,Intermediate
54,Dumbbell Crunch - Gethin Variation,the dumbbell crunch is a more difficult version of a highly popular abdominal movement the simple addition of a weight makes the crunch far more difficult providing a different stimulus to the core during training ,Strength,Abdominals,Dumbbell,Intermediate
55,Single-arm dumbbell crunch,the single arm dumbbell crunch is a more difficult version of a highly popular abdominal movement adding a weight to one side makes the crunch far more difficult to your rectus abdominis or six pack muscles as well as the obliques and deep core muscles ,Strength,Abdominals,Dumbbell,Intermediate
57,Dumbbell straight-legged hip raise,the dumbbell straight legged hip raise works the hips and glutes it requires and teaches body control and coordination ,Strength,Abdominals,Dumbbell,Intermediate
58,Seated leg tuck with dumbbell,the seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell it s commonly performed for high reps as a burnout at the end of a core workout ,Strength,Abdominals,Dumbbell,Intermediate
59,Dumbbell V-sit cross jab-,the dumbbell v sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously it can address multiple muscle groups in a time efficient muscle building or circuit style workout while also providing a cardiovascular challenge ,Strength,Abdominals,Dumbbell,Intermediate
80,Standing dumbbell knee crunch-,the standing dumbbell knee crunch is a great way to train the abs while standing up additionally the deltoids are worked because the lifter holds a pair of dumbbells overhead throughout ,Strength,Abdominals,Dumbbell,Intermediate
88,Landmine twist,the landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a landmine device it can also be performed by sticking a barbell in the corner of a room preferably in a towel to protect the walls it targets the deep muscles of the core including both the obliques and the transversus abdominis it can be done fast or slow for time or reps either in traditional muscle focused rep ranges such as 8 12 reps per side or for higher rep ranges ,Strength,Abdominals,Other,Intermediate
89,Suspended ab fall-out,the suspended ab fall out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings it is similar in form to an ab roller but can more easily be scaled to be more or less difficult it targets the muscles of the rectus abdominis or six pack muscles as well as the deep core muscles it can be trained for low reps for strength or higher reps for muscle definition ,Strength,Abdominals,Other,Intermediate
90,Decline reverse crunch,the decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles particularly the lower abs it is usually performed for high reps such as 10 15 reps per set or more as part of the ab focused portion of a workout ,Strength,Abdominals,Other,Intermediate
92,Weighted Crunches,the weighted suitcase crunch is a weighted version of a popular abdominal training exercise the simple addition of a weight makes the suitcase crunch far more difficult helping build the six pack muscles and providing a different stimulus to the core during training ,Strength,Abdominals,Other,Intermediate
93,Ab Roller,the ab wheel roll out is an exercise targeting the abdominals often with an inexpensive wheel device with a handle on either side many trainers and strength coaches claim it s one of if no the best exercise for developing strength in the midsection beginners may have to start with a limited range of motion or just wheel planks ,Strength,Abdominals,Other,Intermediate
94,Otis-Up,the otis up is a weighted exercise focusing on the abdominal muscles as well as the shoulders to a lesser degree it primarily targets the rectus abdominus or six pack muscles but also involves the obliques and deep core muscles it is normally performed on a decline bench holding a weight plate but can also be performed with a dumbbell kettlebell or other weight ,Strength,Abdominals,Other,Intermediate
95,Captain's chair knee raise,the captain s chair knee raise is a bodyweight exercise that targets the abs it is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely knee raises are often performed for moderate to high reps such as 8 12 reps or more as part of ab focused training ,Strength,Abdominals,Other,Intermediate
96,Sledgehammer swing,the sledgehammer swing is an exercise working the abdominals and numerous other muscles the sledgehammer is slammed from overhead onto a tire which absorbs the impact and causes the hammer to bounce back up it can be performed for time or reps as part of a functional fitness or athleticism focused workout ,Plyometrics,Abdominals,Other,Intermediate
97,Decline bar press sit-up,the decline bar press sit up is a weighted core exercise targeting the abdominal muscles particularly the lower abs it also challenges the shoulders and upper back to move the weight weighted sit up variations are usually performed for moderate to high reps such as 8 12 reps per set or more as part of the core focused portion of a workout ,Strength,Abdominals,Barbell,Intermediate
98,Pallof press,the pallof press is an isometric exercise that trains core stability it involves resisting rotation from a cable or band developing what is sometimes called anti rotation core strength it is most often seen in programs for athletes who compete in sports that test strength power and functional movements it can be trained in timed holds or for reps by pressing the cable or band away from the body ,Strength,Abdominals,Other,Intermediate
99,Weighted Sit-Ups - With Bands,the weighted sit up is a more difficult version of a highly popular abdominal movement the simple addition of a weight makes the sit up far more difficult providing a different stimulus to the core during training and helping build strong abs ,Strength,Abdominals,Other,Intermediate
100,Suitcase crunch,the suitcase crunch is a bodyweight movement that targets the muscles of the abs the rectus abdominis or six pack muscles in particular it is similar to a v up but the lower back stays flat against the ground it can be performed for time or reps in the ab focused portion of any workout ,Strength,Abdominals,Other,Intermediate
101,FYR Rope Jumping,jumping rope is classic conditioning exercise that is popular with everyone from children to boxers to crossfit athletes it targets many different muscles including the calves glutes shoulders and upper back and is great for everything from fat loss to improving overall athletic performance ,Strength,Abdominals,Other,Intermediate
102,Barbell press sit-up,the barbell press sit up is a weighted exercise focusing on the abdominal muscles as well as the shoulders to a lesser degree it primarily targets the rectus abdominis or six pack muscles but also involves the obliques and deep core muscles it can be performed on the floor with the feet anchored or unanchored or on a decline or other bench it is similar to the otis up which is performed with a weight plate ,Strength,Abdominals,Other,Intermediate
103,Single-arm bent-over rear delt fly,the single arm bent over rear delt fly is a popular upper body exercise that targets the muscles on the back of the shoulder joint specifically the rear head of the deltoid since pressing movements build the front and to a lesser degree side deltoid heads this move is often done to promote balanced shoulder development it is usually performed for high reps such as 10 15 reps per set or more as part of a shoulder or upper body workout ,Strength,Abdominals,Other,Intermediate
104,Captain's chair leg raise,the captain s chair leg raise is a bodyweight exercise that targets the abs it is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely leg raise variations are often performed for moderate to high reps such as 8 12 reps or more as part of ab focused training ,Strength,Abdominals,Other,Intermediate
106,Ab Twist - Gethin Variation,the cross body sit up is a bodyweight exercise targeting the ab muscles the obliques and rectus abdominis or six pack muscles in particular it involves bringing the opposite side knee and elbow together usually alternating sides with each rep it can be performed for time or reps as part of the ab focused portion of any workout ,Strength,Abdominals,Other,Intermediate
107,Weighted Crunch - Gethin Variation,the weighted sit up is a more difficult version of a highly popular abdominal movement the simple addition of a weight makes the sit up far more difficult providing a different stimulus to the core during training and helping build strong abs ,Strength,Abdominals,Other,Intermediate
108,Ab Wheel Roll-Out - Gethin Variation,the ab wheel roll out is an exercise targeting the abdominals often with an inexpensive wheel device with a handle on either side many trainers and strength coaches claim it s one of if no the best exercise for developing strength in the midsection beginners may have to start with a limited range of motion or just wheel planks ,Strength,Abdominals,Other,Intermediate
109,Bench crunch,the bench crunch is a popular ab exercise performed lying on a bench it is largely similar to the same exercise performed on the floor but being able to press the lower back into the bench pad can help reinforce proper form and increase the burn in the abs like most crunch variations it is usually performed for moderate to high reps such as 8 12 reps per set or more ,Strength,Abdominals,Other,Intermediate
110,Decline plate sit-up twist,the decline plate sit up twist is a weighted core exercise that works the obliques and rectus abdominis or six pack muscles as well as the deep core muscles weighted sit up variations are usually performed for moderate to high reps such as 8 12 reps per set or more as part of the core focused portion of a workout ,Strength,Abdominals,Other,Intermediate
111,Reverse ab roll-out,the reverse ab roll out is an exercise targeting the abdominals it s a twist on the ab wheel roll out and is similar to a body saw exercise only performed on a foam roller instead of your arms moving and your lower body remaining stationary your lower body moves and your arms remain stationary beginners may need to use a limited range of motion ,Strength,Abdominals,Other,Intermediate
112,30 Seated Twist With PVC Pipe,the seated bar twist is a core exercise aiming to strengthen the obliques ,Strength,Abdominals,Other,Intermediate
113,Suspended crunch-,the suspended crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system it targets the muscles of the core most prominently the rectus abdominis or six pack muscles but also taxes the shoulders and deep core muscles ,Strength,Abdominals,Other,Intermediate
114,Suspended oblique crunch,the suspended oblique crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system it targets the muscles of the core most prominently the obliques but also the rectus abdominis or six pack muscles the shoulders and deep core muscles ,Strength,Abdominals,Other,Intermediate
115,Weighted sit-up,the weighted sit up is a more difficult version of a highly popular abdominal movement the simple addition of a weight makes the sit up far more difficult providing a different stimulus to the core during training and helping build strong abs ,Strength,Abdominals,Other,Intermediate
116,30 Decline Press Sit-Up,the decline bar press sit up is a core and upper body exercise targeting the lower abdominals and shoulders ,Strength,Abdominals,Other,Intermediate
150,Standing cable low-to-high twist,the standing cable low to high twist is a core exercise targeting the upper abdominals and the obliques take care to perform it with control as opposed to violent twisting which can injure the back it is usually performed for moderate to high reps at least 8 15 per side as part of the core focused portion of a workout ,Strength,Abdominals,Cable,Intermediate
151,Single-arm high-cable side bend,the single arm high cable side bend is an exercise targeting the obliques using a cable stack machine ,Strength,Abdominals,Cable,Intermediate
152,Kneeling cable oblique crunch,the kneeling cable oblique crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor it primarily targets the obliques and rectus abdominis or six pack muscles but also strengthens the deep core muscles it is most commonly performed for moderate to high reps such as 8 12 reps per set or higher ,Strength,Abdominals,Cable,Intermediate
153,Kneeling cable crunch,the kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor it primarily targets the rectus abdominis or six pack muscles but also strengthens the deep core muscles it is most commonly performed early in an ab workout usually in moderate to high reps such as 8 12 reps per set or higher ,Strength,Abdominals,Cable,Intermediate
154,Rope Crunch,the kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor it primarily targets the rectus abdominus or six pack muscles but also strengthens the deep core muscles it is most commonly performed early in an ab workout usually in moderate to high reps like 8 12 reps per set or higher ,Strength,Abdominals,Cable,Intermediate
155,Standing cable crunch,the standing cable crunch is a popular core isolation exercise using a rope attachment it primarily targets the rectus abdominis or six pack muscles but also strengthens the deep core muscles it is most commonly performed early in an ab workout usually in moderate to high reps such as 8 12 reps per set or higher ,Strength,Abdominals,Cable,Intermediate
157,Standing Cable Wood Chop,the standing cable high to low twist is a core exercise targeting the lower abdominals and the obliques ,Strength,Abdominals,Cable,Intermediate
158,Cable reverse crunch,the cable reverse crunch is performed on the ground facing away from a high pulley which helps target the lower abdominals specifically ,Strength,Abdominals,Cable,Beginner
160,Pallof press with rotation,the pallof press with rotation is a dynamic variation of the pallof press that incorporates weighted rotation away from the torso using resistance from a cable pulley it is intended to build abdominal strength and teach proper bracing it can be performed for time or for reps in the core focused portion of any workout ,Strength,Abdominals,Cable,Intermediate
163,Exercise Ball Cable Crunch - Gethin Variation,the exercise ball crunch is a popular gym exercise targeting the abdominals unlike crunches on the floor or a bench by using a ball you can increase the range of motion and both stretch and contract the abs on every rep the ball crunch can be performed for low reps with a slower tempo focusing on a hard contraction or for higher reps ,Strength,Abdominals,Cable,Intermediate
164,Standing cable high-to-low twist,the standing cable high to low twist is a core exercise targeting the lower abdominals and the obliques take care to perform it with control as opposed to violent twisting which can injure the back it is usually performed for moderate to high reps at least 8 15 per side as part of the core focused portion of a workout ,Strength,Abdominals,Cable,Intermediate
166,Standing Cable Crunch - Gethin Variation,the standing cable crunch is a popular core isolation exercise using a rope attachment it primarily targets the rectus abdominus or six pack muscles but also strengthens the deep core muscles it is most commonly performed early in an ab workout usually in moderate to high reps like 8 12 reps per set or higher ,Strength,Abdominals,Cable,Intermediate
167,AM Cable Crunch,the kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor it primarily targets the rectus abdominus or six pack muscles but also strengthens the deep core muscles it is most commonly performed early in an ab workout usually in moderate to high reps like 8 12 reps per set or higher ,Strength,Abdominals,Cable,Intermediate
169,Standing cable twist,the standing cable twist is a core exercise that targets the abdominals particularly the obliques take care to perform it with control as opposed to violent twisting which can injure the back it is usually performed for moderate to high reps at least 8 15 per side as part of the core focused portion of a workout ,Strength,Abdominals,Cable,Intermediate
170,30 Cable Rope Crunch,the kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor it primarily targets the rectus abdominus or six pack muscles but also strengthens the deep core muscles it is most commonly performed early in an ab workout usually in moderate to high reps like 8 12 reps per set or higher ,Strength,Abdominals,Cable,Intermediate
171,30 Cable Rope Oblique Crunch,the kneeling cable oblique crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor it primarily targets the obliques and rectus abdominus or six pack muscles but also strengthens the deep core muscles it is most commonly performed for moderate to high reps like 8 12 reps per set or higher ,Strength,Abdominals,Cable,Intermediate
172,Cable lying twist on ball,the cable lying twist on ball is an exercise targeting the core and obliques with the added challenge of stability to keep from losing position on the unstable surface ,Strength,Abdominals,Cable,Intermediate
173,30 Cable Pallof Press,the pallof press is an anti rotation isometric exercise that trains core stability it is most often seen in programs for athletes who compete in sports that test strength power and functional movements ,Strength,Abdominals,Cable,Intermediate
174,30 Cable Reverse Crunch On Ball,the cable reverse crunch on a bosu is performed on top of a bosu ball between two cable pulleys which helps target the lower abdominals specifically and is more proprioceptively challenging than a cable reverse crunch on the floor ,Strength,Abdominals,Cable,Intermediate
175,30 Cable Reverse Crunch,the cable reverse crunch is performed on the ground facing away from a high pulley which helps target the lower abdominals specifically ,Strength,Abdominals,Cable,Intermediate
177,Single-Arm Cable Outward-Facing Biceps Curl,the single arm cable outward facing biceps curl is a cable exercise that targets the biceps it is performed standing in front of a cable machine facing away from the cable stack to increase the range of motion by fully extending the elbows this movement is usually performed for moderate to high reps for a burn and pump as part of an arm focused workout ,Strength,Abdominals,Cable,Intermediate
180,Ab Crunch Machine,the machine crunch is a machine based exercise targeting the abdominal muscles it involves sitting upright in the machine and curling the torso down toward the chest against some pre set level of resistance on some machines the knees also curl up torward the torso crunch machines usually use extra resistance in the form of selectorized weight stacks or plate loading and are often performed for moderate to high reps like 8 12 reps per set or higher as part of the ab focused portion of a workout ,Strength,Abdominals,Machine,Intermediate
181,Smith machine straight-legged hip raise,the smith machine straight legged hip raise is an exercise targeting the abdominal muscles because of the potential awkwardness of getting into position it is usually performed for moderate to high reps such as 8 12 reps per set or more if your smith machine has safety bars set them at a height that allows you a full range of motion while giving adequate protection from the weight potentially falling ,Strength,Abdominals,Machine,Intermediate
182,Machine crunch,the machine crunch is a machine based exercise targeting the abdominal muscles it involves sitting upright in the machine and curling the torso down against a pre set level of resistance on some machines the knees also curl up toward the torso crunch machines usually use extra resistance in the form of selectorized weight stacks or plate loading and are often performed for moderate to high reps such as 8 12 reps per set or more as part of the ab focused portion of a workout ,Strength,Abdominals,Machine,Intermediate
184,Smith machine V-up,the smith machine v up is a weighted abdominal exercise that involves pressing a weighted bar upward while performing a v up performing it in a smith machine eliminates the balance challenge of a free weight it is usually performed for moderate to high reps in the ab focused portion of a workout ,Strength,Abdominals,Machine,Intermediate
185,Elbow plank,the elbow plank is a popular isometric abdominal exercise it is common in all types of exercise programs as well as in group fitness and yoga classes it targets the muscles of the core the deep core or transversus abdominis in particular it is also often prescribed for time to help back pain or to teach proper bracing ,Strength,Abdominals,Body Only,Intermediate
186,Bottoms Up,the lying leg lift is a popular bodyweight exercise targeting the muscles of the abs the rectus abdominis or six pack muscles in particular it can be performed for time or reps in the core focused portion of any workout ,Strength,Abdominals,Body Only,Intermediate
187,Spider crawl,the spider crawl is a bodyweight exercise that involves crawling on the floor with the knees outside of the elbows it is different from a leopard crawl in that the hips are higher and it s different from a bear crawl because the knees are wider it can be done as a full body warm up in short bursts for power or circuit training or for longer durations as cardiovascular conditioning ,Strength,Abdominals,Body Only,Intermediate
188,Cocoons,the cocoon crunch is a bodyweight exercise targeting the ab muscles the rectus abdominis or six pack muscles in particular it involves bringing your knees to your chest and your arms from overhead to center it can be performed for time or reps as part of the ab focused portion of any workout ,Strength,Abdominals,Body Only,Intermediate
189,Cross-Body Crunch,the elbow to knee crunch is a bodyweight exercise targeting the ab muscles the obliques and rectus abdominis or six pack muscles in particular it can be performed for time or reps as part of the ab focused portion of any workout ,Strength,Abdominals,Body Only,Intermediate
190,Elbow-to-knee crunch,the elbow to knee crunch is a bodyweight exercise targeting the ab muscles the obliques and rectus abdominis or six pack muscles in particular it can be performed for time or reps as part of the ab focused portion of any workout ,Strength,Abdominals,Body Only,Intermediate
191,Decline Crunch,the decline crunch is an effective core exercise targeting the rectus abdominis ,Strength,Abdominals,Body Only,Intermediate
192,Hanging toes-to-bar,the hanging toes to bar is an advanced abdominal exercise in which the lifter touches their feet to a pull up bar there are many ways to perform this movement strict or swinging arms completely straight or slightly bent legs straight or bent each providing unique benefits and challenges initially it may be a difficult move to do for a single rep but once you build the requisite core lat and shoulder strength it can be performed for higher reps ,Strength,Abdominals,Body Only,Intermediate
193,Hanging Oblique Knee Raise,the hanging oblique crunch an abdominal exercise that targets both the rectus abdominus or six pack muscles and the oblique muscles it can be performed hanging from a bar or if grip strength is a limitation by placing the elbows in ab straps if hanging from a straight bar is uncomfortable to the wrists or shoulder you can also perform them hanging with a neutral grip palms facing one another ,Strength,Abdominals,Body Only,Intermediate
195,Hanging leg raise,the hanging leg raise is an exercise targeting the abs but which also works the lats and hip flexors instead of resting your forearms on the pads of a captain s chair you perform these hanging from a bar experienced lifters make these look easy but beginners may need time to build up to sets of 8 12 reps ,Strength,Abdominals,Body Only,Intermediate
196,Mountain climber,the mountain climber is a popular bodyweight exercise targeting the muscles of the core as well as the shoulders hips and cardiovascular system it involves lifting one knee to the chest at a time from a straight arm plank position it can be performed for time or reps as part of a dynamic warm up for bodyweight cardio or conditioning or as no equipment dynamic core training ,Plyometrics,Abdominals,Body Only,Intermediate
197,Ab bicycle,the ab bicycle is a bodyweight movement that targets the muscles of the abs the obliques and rectus abdominis or six pack muscles in particular it can be performed for time or reps in the ab focused portion of any workout ,Strength,Abdominals,Body Only,Intermediate
198,3/4 sit-up,the 3 4 sit up is a bodyweight exercise focused on the muscles of the core it is similar to a sit up but stops short of the top position this keeps constant tension on the abs making it more difficult than traditional sit ups it can be performed for time or for reps with the feet anchored or free as part of the ab focused portion of any workout ,Strength,Abdominals,Body Only,Intermediate
199,Reverse crunch,the reverse crunch is a popular exercise targeting the abdominals particularly the lower half it s easy to perform on either the floor or a flat bench many lifters think of this as a companion to the crunch which targets the upper abdominals more than the lower ,Strength,Abdominals,Body Only,Intermediate
200,Crunches,the crunch is a popular core exercise targeting the rectus abdominis or six pack muscles as well as the obliques it has been the centerpiece of many ab focused workouts due to both its simplicity and the intense burn and mind muscle connection it produces it can be performed for time or reps as part of the ab focused portion of any workout ,Strength,Abdominals,Body Only,Intermediate
201,Dead bug reach,the dead bug reach is an exercise for strengthening the core in which you alternate lowering your opposing arm and leg simultaneously controlling the movement with the abdominal muscles it can be part of a dynamic warm up to activate the core for other athletics or lifting or be performed in a circuit or on its own in the ab focused portion of any workout ,Strength,Abdominals,Body Only,Intermediate
203,V-up,the v up is a bodyweight movement that targets the muscles of the abs the rectus abdominis or six pack muscles in particular it is similar to a suitcase crunch but the lower back lifts off the ground at the top of each rep it can be performed for time or reps in the ab focused portion of any workout ,Strength,Abdominals,Body Only,Intermediate
205,Russian twist,the russian twist is an exercise targeting the abdominals and the obliques beginning from a position that resembles stopping midway through a sit up it involves twisting side to side it can be performed with body weight alone or while holding a weight plate or other object it is performed by alternating sides with each rep and can be done for time or for a specific number of reps as part of the ab focused portion of any workout ,Strength,Abdominals,Body Only,Intermediate
206,Flat Bench Lying Leg Raise,the lying leg lift is a popular bodyweight exercise targeting the muscles of the abs the rectus abdominis or six pack muscles in particular it can be performed for time or reps in the core focused portion of any workout ,Strength,Abdominals,Body Only,Intermediate
207,Knees tucked crunch,the knees tucked crunch is a core exercise that involves performing a crunch while keeping the knees bent in a 90 degree position it primarily targets the rectus abdominis or six pack muscles it can be performed for time or reps as part of any abs focused circuit or workout ,Strength,Abdominals,Body Only,Intermediate
